eelwidth,ammowidth
0.0181134351752973,0.016013904462884
0.0393623026202285,0.0168898856245795
0.0500681533928661,0.0177658667862749
0.0355598928239293,0.0181900732418403
0.0380065223202622,0.0183289483040603
0.0397056525649873,0.0184678233662803
0.0402888148678751,0.0186066984285003
0.0397445164954451,0.0181099168878639
0.0398357286056118,0.0174867064096427
0.0385890847205271,0.0168634959314216
0.0366836577002732,0.0159225103575265
0.0357874030702086,0.0148736381770753
0.0339327379267958,0.0138247659966242
0.032189253281586,0.0126775853198422
0.0294803800497703,0.0112262047676213
0.0264459324843591,0.00977482421540043
0.0245639656158647,0.00823385646051732
0.0217066969049178,0.00597245828422553
0.0139190791775278,0.00371106010793374
0,8.74635568512971e-05
